,image
5646,ISIC_2020_Train_DICOM_corrected/train/ISIC_0758641.dcm
5647,ISIC_2020_Train_DICOM_corrected/train/ISIC_9044329.dcm
5648,ISIC_2020_Train_DICOM_corrected/train/ISIC_7056620.dcm
5649,ISIC_2020_Train_DICOM_corrected/train/ISIC_4699072.dcm
5650,ISIC_2020_Train_DICOM_corrected/train/ISIC_3583880.dcm
5651,ISIC_2020_Train_DICOM_corrected/train/ISIC_1953293.dcm
5652,ISIC_2020_Train_DICOM_corrected/train/ISIC_7447506.dcm
5653,ISIC_2020_Train_DICOM_corrected/train/ISIC_5106348.dcm
5654,ISIC_2020_Train_DICOM_corrected/train/ISIC_0695059.dcm
5655,ISIC_2020_Train_DICOM_corrected/train/ISIC_6035124.dcm
5656,ISIC_2020_Train_DICOM_corrected/train/ISIC_6915759.dcm
5657,ISIC_2020_Train_DICOM_corrected/train/ISIC_5922056.dcm
5658,ISIC_2020_Train_DICOM_corrected/train/ISIC_7642991.dcm
5659,ISIC_2020_Train_DICOM_corrected/train/ISIC_2994085.dcm
5660,ISIC_2020_Train_DICOM_corrected/train/ISIC_9330341.dcm
5661,ISIC_2020_Train_DICOM_corrected/train/ISIC_6523459.dcm
5662,ISIC_2020_Train_DICOM_corrected/train/ISIC_8559515.dcm
5663,ISIC_2020_Train_DICOM_corrected/train/ISIC_5227075.dcm
5664,ISIC_2020_Train_DICOM_corrected/train/ISIC_4807196.dcm
5665,ISIC_2020_Train_DICOM_corrected/train/ISIC_2555662.dcm
5666,ISIC_2020_Train_DICOM_corrected/train/ISIC_1904481.dcm
5667,ISIC_2020_Train_DICOM_corrected/train/ISIC_0959562.dcm
5668,ISIC_2020_Train_DICOM_corrected/train/ISIC_2343195.dcm
5669,ISIC_2020_Train_DICOM_corrected/train/ISIC_4227640.dcm
5670,ISIC_2020_Train_DICOM_corrected/train/ISIC_5429665.dcm
5671,ISIC_2020_Train_DICOM_corrected/train/ISIC_8289518.dcm
5672,ISIC_2020_Train_DICOM_corrected/train/ISIC_6354194.dcm
5673,ISIC_2020_Train_DICOM_corrected/train/ISIC_3048826.dcm
5674,ISIC_2020_Train_DICOM_corrected/train/ISIC_9367445.dcm
5675,ISIC_2020_Train_DICOM_corrected/train/ISIC_2134704.dcm
5676,ISIC_2020_Train_DICOM_corrected/train/ISIC_7681336.dcm
5677,ISIC_2020_Train_DICOM_corrected/train/ISIC_9100283.dcm
5678,ISIC_2020_Train_DICOM_corrected/train/ISIC_0995161.dcm
5679,ISIC_2020_Train_DICOM_corrected/train/ISIC_8182529.dcm
5680,ISIC_2020_Train_DICOM_corrected/train/ISIC_5644962.dcm
5681,ISIC_2020_Train_DICOM_corrected/train/ISIC_6738013.dcm
5682,ISIC_2020_Train_DICOM_corrected/train/ISIC_3951020.dcm
5683,ISIC_2020_Train_DICOM_corrected/train/ISIC_7646953.dcm
5684,ISIC_2020_Train_DICOM_corrected/train/ISIC_3648961.dcm
5685,ISIC_2020_Train_DICOM_corrected/train/ISIC_7496898.dcm
5686,ISIC_2020_Train_DICOM_corrected/train/ISIC_7014368.dcm
5687,ISIC_2020_Train_DICOM_corrected/train/ISIC_4552090.dcm
5688,ISIC_2020_Train_DICOM_corrected/train/ISIC_8059361.dcm
5689,ISIC_2020_Train_DICOM_corrected/train/ISIC_8362891.dcm
5690,ISIC_2020_Train_DICOM_corrected/train/ISIC_4057256.dcm
5691,ISIC_2020_Train_DICOM_corrected/train/ISIC_6586052.dcm
5692,ISIC_2020_Train_DICOM_corrected/train/ISIC_6135865.dcm
5693,ISIC_2020_Train_DICOM_corrected/train/ISIC_2840727.dcm
5694,ISIC_2020_Train_DICOM_corrected/train/ISIC_2205007.dcm
5695,ISIC_2020_Train_DICOM_corrected/train/ISIC_7281014.dcm
5696,ISIC_2020_Train_DICOM_corrected/train/ISIC_3296079.dcm
5697,ISIC_2020_Train_DICOM_corrected/train/ISIC_0383524.dcm
5698,ISIC_2020_Train_DICOM_corrected/train/ISIC_3486658.dcm
5699,ISIC_2020_Train_DICOM_corrected/train/ISIC_6451703.dcm
5700,ISIC_2020_Train_DICOM_corrected/train/ISIC_3826602.dcm
5701,ISIC_2020_Train_DICOM_corrected/train/ISIC_2720231.dcm
5702,ISIC_2020_Train_DICOM_corrected/train/ISIC_8882436.dcm
5703,ISIC_2020_Train_DICOM_corrected/train/ISIC_1350991.dcm
5704,ISIC_2020_Train_DICOM_corrected/train/ISIC_6006658.dcm
5705,ISIC_2020_Train_DICOM_corrected/train/ISIC_2301029.dcm
5706,ISIC_2020_Train_DICOM_corrected/train/ISIC_9577512.dcm
5707,ISIC_2020_Train_DICOM_corrected/train/ISIC_4162828.dcm
5708,ISIC_2020_Train_DICOM_corrected/train/ISIC_1437718.dcm
5709,ISIC_2020_Train_DICOM_corrected/train/ISIC_3237504.dcm
5710,ISIC_2020_Train_DICOM_corrected/train/ISIC_6413170.dcm
5711,ISIC_2020_Train_DICOM_corrected/train/ISIC_0422225.dcm
5712,ISIC_2020_Train_DICOM_corrected/train/ISIC_8492957.dcm
5713,ISIC_2020_Train_DICOM_corrected/train/ISIC_2687641.dcm
5714,ISIC_2020_Train_DICOM_corrected/train/ISIC_0515736.dcm
5715,ISIC_2020_Train_DICOM_corrected/train/ISIC_4782920.dcm
5716,ISIC_2020_Train_DICOM_corrected/train/ISIC_9672376.dcm
5717,ISIC_2020_Train_DICOM_corrected/train/ISIC_6431697.dcm
5718,ISIC_2020_Train_DICOM_corrected/train/ISIC_6841294.dcm
5719,ISIC_2020_Train_DICOM_corrected/train/ISIC_2114240.dcm
5720,ISIC_2020_Train_DICOM_corrected/train/ISIC_8566006.dcm
5721,ISIC_2020_Train_DICOM_corrected/train/ISIC_8519402.dcm
5722,ISIC_2020_Train_DICOM_corrected/train/ISIC_5052760.dcm
5723,ISIC_2020_Train_DICOM_corrected/train/ISIC_1974894.dcm
5724,ISIC_2020_Train_DICOM_corrected/train/ISIC_0667315.dcm
5725,ISIC_2020_Train_DICOM_corrected/train/ISIC_4367829.dcm
5726,ISIC_2020_Train_DICOM_corrected/train/ISIC_6409918.dcm
5727,ISIC_2020_Train_DICOM_corrected/train/ISIC_0235728.dcm
5728,ISIC_2020_Train_DICOM_corrected/train/ISIC_3022527.dcm
5729,ISIC_2020_Train_DICOM_corrected/train/ISIC_1995369.dcm
5730,ISIC_2020_Train_DICOM_corrected/train/ISIC_2892069.dcm
5731,ISIC_2020_Train_DICOM_corrected/train/ISIC_6144317.dcm
5732,ISIC_2020_Train_DICOM_corrected/train/ISIC_9054920.dcm
5733,ISIC_2020_Train_DICOM_corrected/train/ISIC_8153123.dcm
5734,ISIC_2020_Train_DICOM_corrected/train/ISIC_9460892.dcm
5735,ISIC_2020_Train_DICOM_corrected/train/ISIC_7216877.dcm
5736,ISIC_2020_Train_DICOM_corrected/train/ISIC_9421796.dcm
5737,ISIC_2020_Train_DICOM_corrected/train/ISIC_7108277.dcm
5738,ISIC_2020_Train_DICOM_corrected/train/ISIC_0185135.dcm
5739,ISIC_2020_Train_DICOM_corrected/train/ISIC_5247508.dcm
5740,ISIC_2020_Train_DICOM_corrected/train/ISIC_5045173.dcm
5741,ISIC_2020_Train_DICOM_corrected/train/ISIC_0369348.dcm
5742,ISIC_2020_Train_DICOM_corrected/train/ISIC_9364643.dcm
5743,ISIC_2020_Train_DICOM_corrected/train/ISIC_5695185.dcm
5744,ISIC_2020_Train_DICOM_corrected/train/ISIC_4781927.dcm
5745,ISIC_2020_Train_DICOM_corrected/train/ISIC_7605996.dcm
5746,ISIC_2020_Train_DICOM_corrected/train/ISIC_0219948.dcm
5747,ISIC_2020_Train_DICOM_corrected/train/ISIC_0420624.dcm
5748,ISIC_2020_Train_DICOM_corrected/train/ISIC_9626843.dcm
5749,ISIC_2020_Train_DICOM_corrected/train/ISIC_7246096.dcm
5750,ISIC_2020_Train_DICOM_corrected/train/ISIC_5491867.dcm
5751,ISIC_2020_Train_DICOM_corrected/train/ISIC_2150031.dcm
5752,ISIC_2020_Train_DICOM_corrected/train/ISIC_4252268.dcm
5753,ISIC_2020_Train_DICOM_corrected/train/ISIC_3526799.dcm
5754,ISIC_2020_Train_DICOM_corrected/train/ISIC_7167085.dcm
5755,ISIC_2020_Train_DICOM_corrected/train/ISIC_8211477.dcm
5756,ISIC_2020_Train_DICOM_corrected/train/ISIC_5181956.dcm
5757,ISIC_2020_Train_DICOM_corrected/train/ISIC_4026806.dcm
5758,ISIC_2020_Train_DICOM_corrected/train/ISIC_3167315.dcm
5759,ISIC_2020_Train_DICOM_corrected/train/ISIC_8570917.dcm
5760,ISIC_2020_Train_DICOM_corrected/train/ISIC_9764522.dcm
5761,ISIC_2020_Train_DICOM_corrected/train/ISIC_9006841.dcm
5762,ISIC_2020_Train_DICOM_corrected/train/ISIC_8528824.dcm
5763,ISIC_2020_Train_DICOM_corrected/train/ISIC_5495413.dcm
5764,ISIC_2020_Train_DICOM_corrected/train/ISIC_8115832.dcm
5765,ISIC_2020_Train_DICOM_corrected/train/ISIC_9995140.dcm
5766,ISIC_2020_Train_DICOM_corrected/train/ISIC_0545237.dcm
5767,ISIC_2020_Train_DICOM_corrected/train/ISIC_1511227.dcm
5768,ISIC_2020_Train_DICOM_corrected/train/ISIC_8683098.dcm
5769,ISIC_2020_Train_DICOM_corrected/train/ISIC_4816564.dcm
5770,ISIC_2020_Train_DICOM_corrected/train/ISIC_3603150.dcm
5771,ISIC_2020_Train_DICOM_corrected/train/ISIC_9237341.dcm
5772,ISIC_2020_Train_DICOM_corrected/train/ISIC_6066992.dcm
5773,ISIC_2020_Train_DICOM_corrected/train/ISIC_3534578.dcm
5774,ISIC_2020_Train_DICOM_corrected/train/ISIC_5891461.dcm
5775,ISIC_2020_Train_DICOM_corrected/train/ISIC_6793830.dcm
5776,ISIC_2020_Train_DICOM_corrected/train/ISIC_2423735.dcm
5777,ISIC_2020_Train_DICOM_corrected/train/ISIC_9056392.dcm
5778,ISIC_2020_Train_DICOM_corrected/train/ISIC_9580562.dcm
5779,ISIC_2020_Train_DICOM_corrected/train/ISIC_1519698.dcm
5780,ISIC_2020_Train_DICOM_corrected/train/ISIC_2748736.dcm
5781,ISIC_2020_Train_DICOM_corrected/train/ISIC_3619300.dcm
5782,ISIC_2020_Train_DICOM_corrected/train/ISIC_6280185.dcm
5783,ISIC_2020_Train_DICOM_corrected/train/ISIC_4201955.dcm
5784,ISIC_2020_Train_DICOM_corrected/train/ISIC_5640804.dcm
5785,ISIC_2020_Train_DICOM_corrected/train/ISIC_1073350.dcm
5786,ISIC_2020_Train_DICOM_corrected/train/ISIC_5984674.dcm
5787,ISIC_2020_Train_DICOM_corrected/train/ISIC_6588537.dcm
5788,ISIC_2020_Train_DICOM_corrected/train/ISIC_3429552.dcm
5789,ISIC_2020_Train_DICOM_corrected/train/ISIC_3669954.dcm
5790,ISIC_2020_Train_DICOM_corrected/train/ISIC_2033980.dcm
5791,ISIC_2020_Train_DICOM_corrected/train/ISIC_9303456.dcm
5792,ISIC_2020_Train_DICOM_corrected/train/ISIC_6985114.dcm
5793,ISIC_2020_Train_DICOM_corrected/train/ISIC_7037880.dcm
5794,ISIC_2020_Train_DICOM_corrected/train/ISIC_8692634.dcm
5795,ISIC_2020_Train_DICOM_corrected/train/ISIC_6985531.dcm
5796,ISIC_2020_Train_DICOM_corrected/train/ISIC_7831274.dcm
5797,ISIC_2020_Train_DICOM_corrected/train/ISIC_6036303.dcm
5798,ISIC_2020_Train_DICOM_corrected/train/ISIC_7280099.dcm
5799,ISIC_2020_Train_DICOM_corrected/train/ISIC_7402087.dcm
5800,ISIC_2020_Train_DICOM_corrected/train/ISIC_9712963.dcm
5801,ISIC_2020_Train_DICOM_corrected/train/ISIC_9414904.dcm
5802,ISIC_2020_Train_DICOM_corrected/train/ISIC_7565550.dcm
5803,ISIC_2020_Train_DICOM_corrected/train/ISIC_0794912.dcm
5804,ISIC_2020_Train_DICOM_corrected/train/ISIC_4508523.dcm
5805,ISIC_2020_Train_DICOM_corrected/train/ISIC_4763007.dcm
5806,ISIC_2020_Train_DICOM_corrected/train/ISIC_2610709.dcm
5807,ISIC_2020_Train_DICOM_corrected/train/ISIC_5137061.dcm
5808,ISIC_2020_Train_DICOM_corrected/train/ISIC_6874316.dcm
5809,ISIC_2020_Train_DICOM_corrected/train/ISIC_6536419.dcm
5810,ISIC_2020_Train_DICOM_corrected/train/ISIC_1645567.dcm
5811,ISIC_2020_Train_DICOM_corrected/train/ISIC_8676305.dcm
5812,ISIC_2020_Train_DICOM_corrected/train/ISIC_0255914.dcm
5813,ISIC_2020_Train_DICOM_corrected/train/ISIC_4547675.dcm
5814,ISIC_2020_Train_DICOM_corrected/train/ISIC_4629184.dcm
5815,ISIC_2020_Train_DICOM_corrected/train/ISIC_6119386.dcm
5816,ISIC_2020_Train_DICOM_corrected/train/ISIC_0986600.dcm
5817,ISIC_2020_Train_DICOM_corrected/train/ISIC_7528105.dcm
5818,ISIC_2020_Train_DICOM_corrected/train/ISIC_8819163.dcm
5819,ISIC_2020_Train_DICOM_corrected/train/ISIC_4527227.dcm
5820,ISIC_2020_Train_DICOM_corrected/train/ISIC_8040100.dcm
5821,ISIC_2020_Train_DICOM_corrected/train/ISIC_0728350.dcm
5822,ISIC_2020_Train_DICOM_corrected/train/ISIC_7134169.dcm
5823,ISIC_2020_Train_DICOM_corrected/train/ISIC_6976235.dcm
5824,ISIC_2020_Train_DICOM_corrected/train/ISIC_7754938.dcm
5825,ISIC_2020_Train_DICOM_corrected/train/ISIC_5029767.dcm
5826,ISIC_2020_Train_DICOM_corrected/train/ISIC_8264614.dcm
5827,ISIC_2020_Train_DICOM_corrected/train/ISIC_2547007.dcm
5828,ISIC_2020_Train_DICOM_corrected/train/ISIC_7233780.dcm
5829,ISIC_2020_Train_DICOM_corrected/train/ISIC_1795959.dcm
5830,ISIC_2020_Train_DICOM_corrected/train/ISIC_0105145.dcm
5831,ISIC_2020_Train_DICOM_corrected/train/ISIC_9586114.dcm
5832,ISIC_2020_Train_DICOM_corrected/train/ISIC_2333883.dcm
5833,ISIC_2020_Train_DICOM_corrected/train/ISIC_2811080.dcm
5834,ISIC_2020_Train_DICOM_corrected/train/ISIC_6497508.dcm
5835,ISIC_2020_Train_DICOM_corrected/train/ISIC_0513013.dcm
5836,ISIC_2020_Train_DICOM_corrected/train/ISIC_9905633.dcm
5837,ISIC_2020_Train_DICOM_corrected/train/ISIC_8636548.dcm
5838,ISIC_2020_Train_DICOM_corrected/train/ISIC_4763017.dcm
5839,ISIC_2020_Train_DICOM_corrected/train/ISIC_4197781.dcm
5840,ISIC_2020_Train_DICOM_corrected/train/ISIC_5692481.dcm
5841,ISIC_2020_Train_DICOM_corrected/train/ISIC_1178227.dcm
5842,ISIC_2020_Train_DICOM_corrected/train/ISIC_0354635.dcm
5843,ISIC_2020_Train_DICOM_corrected/train/ISIC_3134683.dcm
5844,ISIC_2020_Train_DICOM_corrected/train/ISIC_0634107.dcm
5845,ISIC_2020_Train_DICOM_corrected/train/ISIC_4360127.dcm
5846,ISIC_2020_Train_DICOM_corrected/train/ISIC_8205879.dcm
5847,ISIC_2020_Train_DICOM_corrected/train/ISIC_8540111.dcm
5848,ISIC_2020_Train_DICOM_corrected/train/ISIC_8612828.dcm
5849,ISIC_2020_Train_DICOM_corrected/train/ISIC_2393348.dcm
5850,ISIC_2020_Train_DICOM_corrected/train/ISIC_1959939.dcm
5851,ISIC_2020_Train_DICOM_corrected/train/ISIC_8314759.dcm
5852,ISIC_2020_Train_DICOM_corrected/train/ISIC_4152689.dcm
5853,ISIC_2020_Train_DICOM_corrected/train/ISIC_4292879.dcm
5854,ISIC_2020_Train_DICOM_corrected/train/ISIC_6092800.dcm
5855,ISIC_2020_Train_DICOM_corrected/train/ISIC_5583917.dcm
5856,ISIC_2020_Train_DICOM_corrected/train/ISIC_8721182.dcm
5857,ISIC_2020_Train_DICOM_corrected/train/ISIC_9434415.dcm
5858,ISIC_2020_Train_DICOM_corrected/train/ISIC_9673053.dcm
5859,ISIC_2020_Train_DICOM_corrected/train/ISIC_6594464.dcm
5860,ISIC_2020_Train_DICOM_corrected/train/ISIC_3098174.dcm
5861,ISIC_2020_Train_DICOM_corrected/train/ISIC_0889205.dcm
5862,ISIC_2020_Train_DICOM_corrected/train/ISIC_3177916.dcm
5863,ISIC_2020_Train_DICOM_corrected/train/ISIC_1658065.dcm
5864,ISIC_2020_Train_DICOM_corrected/train/ISIC_0240365.dcm
5865,ISIC_2020_Train_DICOM_corrected/train/ISIC_1973151.dcm
5866,ISIC_2020_Train_DICOM_corrected/train/ISIC_6785249.dcm
5867,ISIC_2020_Train_DICOM_corrected/train/ISIC_7406107.dcm
5868,ISIC_2020_Train_DICOM_corrected/train/ISIC_1497800.dcm
5869,ISIC_2020_Train_DICOM_corrected/train/ISIC_8534607.dcm
5870,ISIC_2020_Train_DICOM_corrected/train/ISIC_1502309.dcm
5871,ISIC_2020_Train_DICOM_corrected/train/ISIC_0818181.dcm
5872,ISIC_2020_Train_DICOM_corrected/train/ISIC_1276037.dcm
5873,ISIC_2020_Train_DICOM_corrected/train/ISIC_8009079.dcm
5874,ISIC_2020_Train_DICOM_corrected/train/ISIC_4025576.dcm
5875,ISIC_2020_Train_DICOM_corrected/train/ISIC_9350601.dcm
5876,ISIC_2020_Train_DICOM_corrected/train/ISIC_1083392.dcm
5877,ISIC_2020_Train_DICOM_corrected/train/ISIC_0850253.dcm
5878,ISIC_2020_Train_DICOM_corrected/train/ISIC_5959591.dcm
5879,ISIC_2020_Train_DICOM_corrected/train/ISIC_3658449.dcm
5880,ISIC_2020_Train_DICOM_corrected/train/ISIC_4876193.dcm
5881,ISIC_2020_Train_DICOM_corrected/train/ISIC_3598288.dcm
5882,ISIC_2020_Train_DICOM_corrected/train/ISIC_3575926.dcm
5883,ISIC_2020_Train_DICOM_corrected/train/ISIC_1134882.dcm
5884,ISIC_2020_Train_DICOM_corrected/train/ISIC_3117368.dcm
5885,ISIC_2020_Train_DICOM_corrected/train/ISIC_3676643.dcm
5886,ISIC_2020_Train_DICOM_corrected/train/ISIC_2841488.dcm
5887,ISIC_2020_Train_DICOM_corrected/train/ISIC_7550852.dcm
5888,ISIC_2020_Train_DICOM_corrected/train/ISIC_1624520.dcm
5889,ISIC_2020_Train_DICOM_corrected/train/ISIC_3420574.dcm
5890,ISIC_2020_Train_DICOM_corrected/train/ISIC_0361529.dcm
5891,ISIC_2020_Train_DICOM_corrected/train/ISIC_0295323.dcm
5892,ISIC_2020_Train_DICOM_corrected/train/ISIC_3187746.dcm
5893,ISIC_2020_Train_DICOM_corrected/train/ISIC_2306330.dcm
5894,ISIC_2020_Train_DICOM_corrected/train/ISIC_3105136.dcm
5895,ISIC_2020_Train_DICOM_corrected/train/ISIC_9832775.dcm
5896,ISIC_2020_Train_DICOM_corrected/train/ISIC_2775157.dcm
5897,ISIC_2020_Train_DICOM_corrected/train/ISIC_4498746.dcm
5898,ISIC_2020_Train_DICOM_corrected/train/ISIC_9272770.dcm
5899,ISIC_2020_Train_DICOM_corrected/train/ISIC_0173213.dcm
5900,ISIC_2020_Train_DICOM_corrected/train/ISIC_2280085.dcm
5901,ISIC_2020_Train_DICOM_corrected/train/ISIC_2049142.dcm
5902,ISIC_2020_Train_DICOM_corrected/train/ISIC_9728805.dcm
5903,ISIC_2020_Train_DICOM_corrected/train/ISIC_6269318.dcm
5904,ISIC_2020_Train_DICOM_corrected/train/ISIC_4448604.dcm
5905,ISIC_2020_Train_DICOM_corrected/train/ISIC_8498454.dcm
5906,ISIC_2020_Train_DICOM_corrected/train/ISIC_3766837.dcm
5907,ISIC_2020_Train_DICOM_corrected/train/ISIC_4752144.dcm
5908,ISIC_2020_Train_DICOM_corrected/train/ISIC_8803600.dcm
5909,ISIC_2020_Train_DICOM_corrected/train/ISIC_2406580.dcm
5910,ISIC_2020_Train_DICOM_corrected/train/ISIC_5564432.dcm
5911,ISIC_2020_Train_DICOM_corrected/train/ISIC_6381607.dcm
5912,ISIC_2020_Train_DICOM_corrected/train/ISIC_9669808.dcm
5913,ISIC_2020_Train_DICOM_corrected/train/ISIC_0385609.dcm
5914,ISIC_2020_Train_DICOM_corrected/train/ISIC_1852500.dcm
5915,ISIC_2020_Train_DICOM_corrected/train/ISIC_5158910.dcm
5916,ISIC_2020_Train_DICOM_corrected/train/ISIC_7259828.dcm
5917,ISIC_2020_Train_DICOM_corrected/train/ISIC_0625777.dcm
5918,ISIC_2020_Train_DICOM_corrected/train/ISIC_0327225.dcm
5919,ISIC_2020_Train_DICOM_corrected/train/ISIC_2553976.dcm
5920,ISIC_2020_Train_DICOM_corrected/train/ISIC_1303825.dcm
5921,ISIC_2020_Train_DICOM_corrected/train/ISIC_5781274.dcm
5922,ISIC_2020_Train_DICOM_corrected/train/ISIC_7991946.dcm
5923,ISIC_2020_Train_DICOM_corrected/train/ISIC_2299497.dcm
5924,ISIC_2020_Train_DICOM_corrected/train/ISIC_6556513.dcm
5925,ISIC_2020_Train_DICOM_corrected/train/ISIC_5138700.dcm
5926,ISIC_2020_Train_DICOM_corrected/train/ISIC_1084298.dcm
5927,ISIC_2020_Train_DICOM_corrected/train/ISIC_2988753.dcm
5928,ISIC_2020_Train_DICOM_corrected/train/ISIC_5004716.dcm
5929,ISIC_2020_Train_DICOM_corrected/train/ISIC_0392334.dcm
5930,ISIC_2020_Train_DICOM_corrected/train/ISIC_3956570.dcm
5931,ISIC_2020_Train_DICOM_corrected/train/ISIC_8937646.dcm
5932,ISIC_2020_Train_DICOM_corrected/train/ISIC_1975042.dcm
5933,ISIC_2020_Train_DICOM_corrected/train/ISIC_6027558.dcm
5934,ISIC_2020_Train_DICOM_corrected/train/ISIC_0334153.dcm
5935,ISIC_2020_Train_DICOM_corrected/train/ISIC_2887668.dcm
5936,ISIC_2020_Train_DICOM_corrected/train/ISIC_8021672.dcm
5937,ISIC_2020_Train_DICOM_corrected/train/ISIC_0482495.dcm
5938,ISIC_2020_Train_DICOM_corrected/train/ISIC_0626118.dcm
5939,ISIC_2020_Train_DICOM_corrected/train/ISIC_9105994.dcm
5940,ISIC_2020_Train_DICOM_corrected/train/ISIC_2255088.dcm
5941,ISIC_2020_Train_DICOM_corrected/train/ISIC_9510497.dcm
5942,ISIC_2020_Train_DICOM_corrected/train/ISIC_8841384.dcm
5943,ISIC_2020_Train_DICOM_corrected/train/ISIC_5889246.dcm
5944,ISIC_2020_Train_DICOM_corrected/train/ISIC_5505507.dcm
5945,ISIC_2020_Train_DICOM_corrected/train/ISIC_0881573.dcm
5946,ISIC_2020_Train_DICOM_corrected/train/ISIC_7664835.dcm
5947,ISIC_2020_Train_DICOM_corrected/train/ISIC_8863198.dcm
5948,ISIC_2020_Train_DICOM_corrected/train/ISIC_9367522.dcm
5949,ISIC_2020_Train_DICOM_corrected/train/ISIC_5175564.dcm
5950,ISIC_2020_Train_DICOM_corrected/train/ISIC_7250445.dcm
5951,ISIC_2020_Train_DICOM_corrected/train/ISIC_0710064.dcm
5952,ISIC_2020_Train_DICOM_corrected/train/ISIC_5668692.dcm
5953,ISIC_2020_Train_DICOM_corrected/train/ISIC_0304042.dcm
5954,ISIC_2020_Train_DICOM_corrected/train/ISIC_9407543.dcm
5955,ISIC_2020_Train_DICOM_corrected/train/ISIC_5056768.dcm
5956,ISIC_2020_Train_DICOM_corrected/train/ISIC_7767248.dcm
5957,ISIC_2020_Train_DICOM_corrected/train/ISIC_1043219.dcm
5958,ISIC_2020_Train_DICOM_corrected/train/ISIC_5458886.dcm
5959,ISIC_2020_Train_DICOM_corrected/train/ISIC_1666652.dcm
5960,ISIC_2020_Train_DICOM_corrected/train/ISIC_5224467.dcm
5961,ISIC_2020_Train_DICOM_corrected/train/ISIC_2647198.dcm
5962,ISIC_2020_Train_DICOM_corrected/train/ISIC_3678321.dcm
5963,ISIC_2020_Train_DICOM_corrected/train/ISIC_7605547.dcm
5964,ISIC_2020_Train_DICOM_corrected/train/ISIC_8094833.dcm
5965,ISIC_2020_Train_DICOM_corrected/train/ISIC_0423788.dcm
5966,ISIC_2020_Train_DICOM_corrected/train/ISIC_0828069.dcm
5967,ISIC_2020_Train_DICOM_corrected/train/ISIC_8846215.dcm
5968,ISIC_2020_Train_DICOM_corrected/train/ISIC_3528120.dcm
5969,ISIC_2020_Train_DICOM_corrected/train/ISIC_3186856.dcm
5970,ISIC_2020_Train_DICOM_corrected/train/ISIC_6281906.dcm
5971,ISIC_2020_Train_DICOM_corrected/train/ISIC_9029813.dcm
5972,ISIC_2020_Train_DICOM_corrected/train/ISIC_2293977.dcm
5973,ISIC_2020_Train_DICOM_corrected/train/ISIC_2283336.dcm
5974,ISIC_2020_Train_DICOM_corrected/train/ISIC_7172893.dcm
5975,ISIC_2020_Train_DICOM_corrected/train/ISIC_9677250.dcm
5976,ISIC_2020_Train_DICOM_corrected/train/ISIC_9848953.dcm
5977,ISIC_2020_Train_DICOM_corrected/train/ISIC_8324681.dcm
5978,ISIC_2020_Train_DICOM_corrected/train/ISIC_6166308.dcm
5979,ISIC_2020_Train_DICOM_corrected/train/ISIC_6058822.dcm
5980,ISIC_2020_Train_DICOM_corrected/train/ISIC_7667790.dcm
5981,ISIC_2020_Train_DICOM_corrected/train/ISIC_9473134.dcm
5982,ISIC_2020_Train_DICOM_corrected/train/ISIC_7326704.dcm
5983,ISIC_2020_Train_DICOM_corrected/train/ISIC_5527224.dcm
5984,ISIC_2020_Train_DICOM_corrected/train/ISIC_6800834.dcm
5985,ISIC_2020_Train_DICOM_corrected/train/ISIC_0359698.dcm
5986,ISIC_2020_Train_DICOM_corrected/train/ISIC_5434661.dcm
5987,ISIC_2020_Train_DICOM_corrected/train/ISIC_4809996.dcm
5988,ISIC_2020_Train_DICOM_corrected/train/ISIC_8526513.dcm
5989,ISIC_2020_Train_DICOM_corrected/train/ISIC_3518444.dcm
5990,ISIC_2020_Train_DICOM_corrected/train/ISIC_4826449.dcm
5991,ISIC_2020_Train_DICOM_corrected/train/ISIC_2246315.dcm
5992,ISIC_2020_Train_DICOM_corrected/train/ISIC_4220845.dcm
5993,ISIC_2020_Train_DICOM_corrected/train/ISIC_5148722.dcm
5994,ISIC_2020_Train_DICOM_corrected/train/ISIC_1682693.dcm
5995,ISIC_2020_Train_DICOM_corrected/train/ISIC_8883692.dcm
5996,ISIC_2020_Train_DICOM_corrected/train/ISIC_3025780.dcm
5997,ISIC_2020_Train_DICOM_corrected/train/ISIC_5874357.dcm
5998,ISIC_2020_Train_DICOM_corrected/train/ISIC_2768800.dcm
5999,ISIC_2020_Train_DICOM_corrected/train/ISIC_1756265.dcm
6000,ISIC_2020_Train_DICOM_corrected/train/ISIC_6716036.dcm
6001,ISIC_2020_Train_DICOM_corrected/train/ISIC_5135700.dcm
6002,ISIC_2020_Train_DICOM_corrected/train/ISIC_5469302.dcm
6003,ISIC_2020_Train_DICOM_corrected/train/ISIC_5857155.dcm
6004,ISIC_2020_Train_DICOM_corrected/train/ISIC_8195031.dcm
6005,ISIC_2020_Train_DICOM_corrected/train/ISIC_1202355.dcm
6006,ISIC_2020_Train_DICOM_corrected/train/ISIC_5566630.dcm
6007,ISIC_2020_Train_DICOM_corrected/train/ISIC_9667297.dcm
6008,ISIC_2020_Train_DICOM_corrected/train/ISIC_6388815.dcm
6009,ISIC_2020_Train_DICOM_corrected/train/ISIC_2284546.dcm
6010,ISIC_2020_Train_DICOM_corrected/train/ISIC_9502241.dcm
6011,ISIC_2020_Train_DICOM_corrected/train/ISIC_5505564.dcm
6012,ISIC_2020_Train_DICOM_corrected/train/ISIC_0358490.dcm
6013,ISIC_2020_Train_DICOM_corrected/train/ISIC_8894948.dcm
